Sr. No.,Symbol,Company Name,"Market capitalization 
(Rs in Lakhs)"
126,KANSAINER,Kansai Nerolac Paints Limited,3239177
127,SRF,SRF Limited,3205640
128,IDFCFIRSTB,IDFC First Bank Limited,3161448
129,BEL,Bharat Electronics Limited,3048178
130,TATACOMM,Tata Communications Limited,3028980
131,PFC,Power Finance Corporation Limited,3003093
132,IRFC,Indian Railway Finance Corporation Limited,2992688
133,ABB,ABB India Limited,2988014
134,DALBHARAT,Dalmia Bharat Limited,2968125
135,MFSL,Max Financial Services Limited,2965879
136,VBL,Varun Beverages Limited,2895404
137,ABCAPITAL,Aditya Birla Capital Limited,2881232
138,SUNDARMFIN,Sundaram Finance Limited,2855869
139,WHIRLPOOL,Whirlpool of India Limited,2824928
140,IRCTC,Indian Railway Catering And Tourism Corporation Limited,2811200
141,LTTS,L&T Technology Services Limited,2787736
142,TVSMOTOR,TVS Motor Company Limited,2779497
143,BHARATFORG,Bharat Forge Limited,2774675
144,OFSS,Oracle Financial Services Software Limited,2752962
145,TRENT,Trent Limited,2669889
146,IDEA,Vodafone Idea Limited,2658024
147,IOB,Indian Overseas Bank,2629918
148,SUPREMEIND,Supreme Industries Limited,2594778
149,RECLTD,REC Limited,2590105
150,CUMMINSIND,Cummins India Limited,2549270
151,NIACL,The New India Assurance Company Limited,2543688
152,CANBK,Canara Bank,2506336
153,CROMPTON,Crompton Greaves Consumer Electricals Limited,2463271
154,M&MFIN,Mahindra & Mahindra Financial Services Limited,2458087
155,NHPC,NHPC Limited,2456011
156,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2440717
157,IPCALAB,IPCA Laboratories Limited,2414947
158,L&TFH,L&T Finance Holdings Limited,2366964
159,RAMCOCEM,The Ramco Cements Limited,2364915
160,INDIAMART,Indiamart Intermesh Limited,2349530
161,TIINDIA,Tube Investments of India Limited,2300980
162,AARTIIND,Aarti Industries Limited,2295452
163,COROMANDEL,Coromandel International Limited,2272365
164,DEEPAKNTR,Deepak Nitrite Limited,2259351
165,LALPATHLAB,Dr. Lal Path Labs Ltd.,2256187
166,JKCEMENT,JK Cement Limited,2238654
167,BANKINDIA,Bank of India,2223392
168,UNIONBANK,Union Bank of India,2181531
169,RELAXO,Relaxo Footwears Limited,2177347
170,SYNGENE,Syngene International Limited,2173800
171,LICHSGFIN,LIC Housing Finance Limited,2160967
172,EMAMILTD,Emami Limited,2160337
173,DIXON,Dixon Technologies (India) Limited,2150755
174,ATUL,Atul Limited,2095666
175,OBEROIRLTY,Oberoi Realty Limited,2091258
176,NAM-INDIA,Nippon Life India Asset Management Limited,2081577
177,PFIZER,Pfizer Limited,2070039
178,POLYCAB,Polycab India Limited,2057080
179,ENDURANCE,Endurance Technologies Limited,2048262
180,TORNTPOWER,Torrent Power Limited,2036854
181,MAXHEALTH,Max Healthcare Institute Limited,1987432
182,ZEEL,Zee Entertainment Enterprises Limited,1951745
183,LAURUSLABS,Laurus Labs Limited,1942501
184,AIAENG,AIA Engineering Limited,1936114
185,GILLETTE,Gillette India Limited,1922544
186,TATACHEM,Tata Chemicals Limited,1915258
187,AAVAS,Aavas Financiers Limited,1900477
188,RUCHI,Ruchi Soya Industries Limited,1899299
189,APLLTD,Alembic Pharmaceuticals Limited,1896736
190,SUNTV,Sun TV Network Limited,1853380
191,GODREJIND,Godrej Industries Limited,1836586
192,SANOFI,Sanofi India Limited,1815861
193,BATAINDIA,Bata India Limited,1807354
194,COFORGE,Coforge Limited,1773365
195,APLAPOLLO,APL Apollo Tubes Limited,1749264
196,ESCORTS,Escorts Limited,1736400
197,ABFRL,Aditya Birla Fashion and Retail Limited,1705838
198,SCHAEFFLER,Schaeffler India Limited,1701225
199,BHEL,Bharat Heavy Electricals Limited,1697506
200,SUNDRMFAST,Sundram Fasteners Limited,1681973
201,TATAELXSI,Tata Elxsi Limited,1677042
202,THERMAX,Thermax Limited,1600924
203,HATSUN,Hatsun Agro Product Limited,1562511
204,EXIDEIND,Exide Industries Limited,1560600
205,AJANTPHARM,Ajanta Pharma Limited,1550563
206,GSPL,Gujarat State Petronet Limited,1542272
207,LINDEINDIA,Linde India Limited,1534690
208,FEDERALBNK,The Federal Bank  Limited,1513737
209,NATCOPHARM,Natco Pharma Limited,1505290
210,FORTIS,Fortis Healthcare Limited,1503499
211,KAJARIACER,Kajaria Ceramics Limited,1474522
212,MINDAIND,Minda Industries Limited,1474126
213,PERSISTENT,Persistent Systems Limited,1468927
214,GMRINFRA,GMR Infrastructure Limited,1466735
215,AMARAJABAT,Amara Raja Batteries Limited,1458397
216,SUMICHEM,Sumitomo Chemical India Limited,1451017
217,JSWENERGY,JSW Energy Limited,1443188
218,VINATIORGA,Vinati Organics Limited,1438897
219,APOLLOTYRE,Apollo Tyres Limited,1420721
220,RAJESHEXPO,Rajesh Exports Limited,1413705
221,AFFLE,Affle (India) Limited,1391541
222,MAHABANK,Bank of Maharashtra,1364513
223,NAVINFLUOR,Navin Fluorine International Limited,1363310
224,PHOENIXLTD,The Phoenix Mills Limited,1341642
225,CRISIL,CRISIL Limited,1336611
226,OIL,Oil India Limited,1331650
227,BLUEDART,Blue Dart Express Limited,1322678
228,INDHOTEL,The Indian Hotels Company Limited,1315932
229,GLENMARK,Glenmark Pharmaceuticals Limited,1311235
230,INDIANB,Indian Bank,1311195
231,SUVENPHAR,Suven Pharmaceuticals Limited,1264679
232,MANAPPURAM,Manappuram Finance Limited,1262776
233,ZYDUSWELL,Zydus Wellness Limited,1254540
234,VAIBHAVGBL,Vaibhav Global Limited,1250083
235,WABCOINDIA,WABCO India Limited,1249973
236,RBLBANK,RBL Bank Limited,1241167
237,CASTROLIND,Castrol India Limited,1239370
238,ISEC,ICICI Securities Limited,1233467
239,PRESTIGE,Prestige Estates Projects Limited,1225033
240,ALKYLAMINE,Alkyl Amines Chemicals Limited,1162851
241,SOLARINDS,Solar Industries India Limited,1160671
242,MGL,Mahanagar Gas Limited,1154663
243,CUB,City Union Bank Limited,1152193
244,METROPOLIS,Metropolis Healthcare Limited,1145630
245,INDIGOPNTS,Indigo Paints Limited,1139682
246,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1124836
247,BAJAJELEC,Bajaj Electricals Limited,1118565
248,AMBER,Amber Enterprises India Limited,1117234
249,SKFINDIA,SKF India Limited,1112058
250,TANLA,Tanla Platforms Limited,1106793
251,HINDCOPPER,Hindustan Copper Limited,1106561
252,UCOBANK,UCO Bank,1091017
253,IIFLWAM,Iifl Wealth Management Limited,1089219
254,JUBLPHARMA,Jubilant Pharmova Limited,1084864
255,VGUARD,V-Guard Industries Limited,1083812
256,ITI,ITI Limited,1073085
257,IIFL,IIFL Finance Limited,1067762
258,KEC,KEC International Limited,1056248
259,GRINDWELL,Grindwell Norton Limited,1054276
260,AEGISCHEM,Aegis Logistics Limited,1048262
261,AKZOINDIA,Akzo Nobel India Limited,1045628
262,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1043369
263,QUESS,Quess Corp Limited,1031980
264,PGHL,Procter & Gamble Health Limited,1029519
265,SJVN,SJVN Limited,1023712
266,NATIONALUM,National Aluminium Company Limited,1008366
267,GODREJAGRO,Godrej Agrovet Limited,1006073
268,TTKPRESTIG,TTK Prestige Limited,1004938
269,ALOKINDS,Alok Industries Limited,1000496
270,GRAPHITE,Graphite India Limited,1000323
271,IEX,Indian Energy Exchange Limited,996924
272,INTELLECT,Intellect Design Arena Limited,983332
273,ORCHPHARMA,Orchid Pharma Limited,982675
274,TIMKEN,Timken India Limited,975211
275,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,970238
276,CARBORUNIV,Carborundum Universal Limited,965580
277,SFL,Sheela Foam Limited,964461
278,CENTRALBK,Central Bank of India,957717
279,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,953324
280,MOTILALOFS,Motilal Oswal Financial Services Limited,915929
281,IBULHSGFIN,Indiabulls Housing Finance Limited,908516
282,GALAXYSURF,Galaxy Surfactants Limited,902944
283,SHRIRAMCIT,Shriram City Union Finance Limited,900167
284,BLUESTARCO,Blue Star Limited,899764
285,BASF,BASF India Limited,895905
286,CGPOWER,CG Power and Industrial Solutions Limited,895121
287,RATNAMANI,Ratnamani Metals & Tubes Limited,888673
288,DHANI,Dhani Services Limited,886080
289,SYMPHONY,Symphony Limited,884921
290,HUDCO,Housing & Urban Development Corporation Limited,877833
291,KIOCL,KIOCL Limited,871515
292,NBCC,NBCC (India) Limited,842400
293,NH,Narayana Hrudayalaya Ltd.,829398
294,ERIS,Eris Lifesciences Limited,821473
295,CANFINHOME,Can Fin Homes Limited,817233
296,ROUTE,ROUTE MOBILE LIMITED,813646
297,WELSPUNIND,Welspun India Limited,812320
298,JMFINANCIL,JM Financial Limited,805247
299,DBL,Dilip Buildcon Limited,793265
300,HAPPSTMNDS,Happiest Minds Technologies Limited,793137
301,FSL,Firstsource Solutions Limited,792747
302,FINPIPE,Finolex Industries Limited,789247
303,POLYMED,Poly Medicure Limited,788474
304,CESC,CESC Limited,786792
305,DCMSHRIRAM,DCM Shriram Limited,781505
306,BBTC,Bombay Burmah Trading Corporation Limited,774747
307,STLTECH,Sterlite Technologies Limited,770252
308,STAR,Strides Pharma Science Limited,757366
309,IDFC,IDFC Limited,755876
310,ASAHIINDIA,Asahi India Glass Limited,752971
311,ASTRAZEN,AstraZeneca Pharma India Limited,752325
312,GRANULES,Granules India Limited,751569
313,RADICO,Radico Khaitan Limited,748049
314,VTL,Vardhman Textiles Limited,746421
315,EPL,EPL Limited,745501
316,PVR,PVR Limited,745016
317,REDINGTON,Redington (India) Limited,742574
318,UTIAMC,UTI Asset Management Company Limited,739170
319,KPRMILL,K.P.R. Mill Limited,733824
320,BIRLACORPN,Birla Corporation Limited,731435
321,LAXMIMACH,Lakshmi Machine Works Limited,725515
322,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,721265
323,TRIDENT,Trident Limited,715982
324,CYIENT,Cyient Limited,712388
325,CENTURYPLY,Century Plyboards (India) Limited,707066
326,BSOFT,BIRLASOFT LIMITED,701672
327,KALYANKJIL,Kalyan Jewellers India Limited,701466
328,FINEORG,Fine Organic Industries Limited,700228
329,NLCINDIA,NLC India Limited,698865
330,ASTERDM,Aster DM Healthcare Limited,686581
331,EQUITASBNK,Equitas Small Finance Bank Limited,686282
332,CDSL,Central Depository Services (India) Limited,685572
333,MRPL,Mangalore Refinery and Petrochemicals Limited,680885
334,CGCL,Capri Global Capital Limited,665296
335,PNCINFRA,PNC Infratech Limited,661615
336,ORIENTELEC,Orient Electric Limited,660852
337,PRSMJOHNSN,Prism Johnson Limited,659649
338,AARTIDRUGS,Aarti Drugs Limited,647088
339,TEAMLEASE,Teamlease Services Limited,644830
340,MMTC,MMTC Limited,635250
341,FLUOROCHEM,Gujarat Fluorochemicals Limited,631802
342,INFIBEAM,Infibeam Avenues Limited,631585
343,PNBHOUSING,PNB Housing Finance Limited,630837
344,CEATLTD,CEAT Limited,629626
345,GMMPFAUDLR,GMM Pfaudler Limited,629459
346,SUNCLAYLTD,Sundaram Clayton Limited,623411
347,ZENSARTECH,Zensar Technologies Limited,617876
348,MAHINDCIE,Mahindra CIE Automotive Limited,611189
349,BDL,Bharat Dynamics Limited,609502
350,RVNL,Rail Vikas Nigam Limited,606741
351,ELGIEQUIP,Elgi Equipments Limited,604504
352,KNRCON,KNR Constructions Limited,600155
353,SEQUENT,Sequent Scientific Limited,598326
354,VAKRANGEE,Vakrangee Limited,593797
355,EDELWEISS,Edelweiss Financial Services Limited,592360
356,BRIGADE,Brigade Enterprises Limited,586024
357,FINCABLES,Finolex Cables Limited,582622
358,EIHOTEL,EIH Limited,581276
359,POWERINDIA,ABB Power Products and Systems India Limited,579336
360,RITES,RITES Limited,578647
361,SIS,SIS LIMITED,577514
362,TATASTLBSL,Tata Steel Bsl Limited,570229
363,BALAMINES,Balaji Amines Limited,570031
364,HEG,HEG Limited,565058
365,AVANTIFEED,Avanti Feeds Limited,564670
366,EIDPARRY,EID Parry India Limited,563803
367,KALPATPOWR,Kalpataru Power Transmission Limited,561388
368,VMART,V-Mart Retail Limited,548915
369,ROSSARI,Rossari Biotech Limited,537755
370,SONATSOFTW,Sonata Software Limited,535471
371,JUSTDIAL,Just Dial Limited,533924
372,HEIDELBERG,HeidelbergCement India Limited,529368
373,GARFIBRES,Garware Technical Fibres Limited,529299
374,UJJIVANSFB,Ujjivan Small Finance Bank Limited,527134
375,TATAINVEST,Tata Investment Corporation Limited,523914
376,VSTIND,VST Industries Limited,523342
377,BEML,BEML Limited,522951
378,CENTURYTEX,Century Textiles & Industries Limited,519441
379,INDIACEM,The India Cements Limited,518613
380,SCI,Shipping Corporation Of India Limited,515640
381,JKLAKSHMI,JK Lakshmi Cement Limited,509453
382,CERA,Cera Sanitaryware Limited,508179
383,JYOTHYLAB,Jyothy Labs Limited,502341
384,VIPIND,VIP Industries Limited,500475
385,SOLARA,Solara Active Pharma Sciences Limited,500277
386,TV18BRDCST,TV18 Broadcast Limited,492879
387,COCHINSHIP,Cochin Shipyard Limited,492356
388,BURGERKING,Burger King India Limited,492320
389,VARROC,Varroc Engineering Limited,491860
390,RALLIS,Rallis India Limited,491617
391,ANURAS,Anupam Rasayan India Limited,488770
392,KPITTECH,KPIT Technologies Limited,486742
393,FDC,FDC Limited,482628
394,NCC,NCC Limited,481779
395,RAIN,Rain Industries Limited,480470
396,THYROCARE,Thyrocare Technologies Limited,477245
397,GODFRYPHLP,Godfrey Phillips India Limited,476134
398,KEI,KEI Industries Limited,469674
399,GPPL,Gujarat Pipavav Port Limited,469178
400,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,466567
401,MASFIN,MAS Financial Services Limited,466322
402,LXCHEM,Laxmi Organic Industries Limited,460092
403,GESHIP,The Great Eastern Shipping Company Limited,459564
404,PRINCEPIPE,Prince Pipes And Fittings Limited,459303
405,WOCKPHARMA,Wockhardt Limited,458689
406,HATHWAY,Hathway Cable & Datacom Limited,454917
407,BALRAMCHIN,Balrampur Chini Mills Limited,450450
408,IFBIND,IFB Industries Limited,450387
409,NAZARA,Nazara Technologies Limited,446530
410,RESPONIND,Responsive Industries Limited,446011
411,KARURVYSYA,Karur Vysya Bank Limited,444328
412,LUXIND,Lux Industries Limited,441511
413,ENGINERSIN,Engineers India Limited,432773
414,DELTACORP,Delta Corp Limited,432650
415,MAZDOCK,Mazagon Dock Shipbuilders Limited,428188
416,RCF,Rashtriya Chemicals and Fertilizers Limited,427282
417,JSWHL,JSW Holdings Limited,427208
418,SUZLON,Suzlon Energy Limited,425401
419,KRBL,KRBL Limited,422525
420,MAHLOG,Mahindra Logistics Limited,415509
421,IRCON,Ircon International Limited,415238
422,SWSOLAR,Sterling And Wilson Solar Limited,414450
423,SOBHA,Sobha Limited,414429
424,JUBLINGREA,Jubilant Ingrevia Limited,413653
425,SUNTECK,Sunteck Realty Limited,410490
426,MAHSCOOTER,Maharashtra Scooters Limited,407720
427,RAILTEL,Railtel Corporation Of India Limited,406950
428,CSBBANK,CSB Bank Limited,403979
429,BHARATRAS,Bharat Rasayan Limited,400044
430,STARCEMENT,Star Cement Limited,399025
431,SUPPETRO,Supreme Petrochem Limited,392959
432,HOMEFIRST,Home First Finance Company India Limited,391842
433,HEMIPROP,Hemisphere Properties India Limited,391733
434,SPANDANA,Spandana Sphoorty Financial Limited,389880
435,AGCNET,AGC Networks Limited,386369
436,INDOSTAR,IndoStar Capital Finance Limited,386348
437,ADVENZYMES,Advanced Enzyme Technologies Limited,385407
438,SUPRAJIT,Suprajit Engineering Limited,385349
439,ECLERX,eClerx Services Limited,384832
440,BAJAJCON,Bajaj Consumer Care Limited,383457
441,IRB,IRB Infrastructure Developers Limited,381675
442,NETWORK18,Network18 Media & Investments Limited,381089
443,FACT,Fertilizers and Chemicals Travancore Limited,380235
444,SPARC,Sun Pharma Advanced Research Company Limited,372469
445,NESCO,Nesco Limited,370760
446,IBREALEST,Indiabulls Real Estate Limited,368732
447,TASTYBITE,Tasty Bite Eatables Limited,366272
448,TCIEXP,TCI Express Limited,363898
449,GULFOILLUB,Gulf Oil Lubricants India Limited,363335
450,WELCORP,Welspun Corp Limited,360934
451,HGS,Hinduja Global Solutions Limited,360383
452,SUDARSCHEM,Sudarshan Chemical Industries Limited,358701
453,MOIL,MOIL Limited,357297
454,PRAJIND,Praj Industries Limited,357022
455,TATASTLLP,Tata Steel Long Products Limited,349908
456,TECHNOE,Techno Electric & Engineering Company Limited,337535
457,PAISALO,Paisalo Digital Limited,334108
458,PRIVISCL,Privi Speciality Chemicals Limited,333615
459,MIDHANI,Mishra Dhatu Nigam Limited,331311
460,SWANENERGY,Swan Energy Limited,331090
461,ITDC,India Tourism Development Corporation Limited,329397
462,JSL,Jindal Stainless Limited,329371
463,TRITURBINE,Triveni Turbine Limited,329125
464,PHILIPCARB,Phillips Carbon Black Limited,328821
465,JINDALPOLY,Jindal Poly Films Limited,324282
466,GSFC,Gujarat State Fertilizers & Chemicals Limited,323962
467,KSCL,Kaveri Seed Company Limited,323884
468,IOLCP,IOL Chemicals and Pharmaceuticals Limited,323379
469,HFCL,HFCL Limited,323021
470,DHANUKA,Dhanuka Agritech Limited,321251
471,INOXLEISUR,INOX Leisure Limited,321198
472,BORORENEW,BOROSIL RENEWABLES LIMITED,320181
473,DCBBANK,DCB Bank Limited,318595
474,ICRA,ICRA Limited,315595
475,MTARTECH,Mtar Technologies Limited,314886
476,KSB,Ksb Limited,311965
477,TCNSBRANDS,TCNS Clothing Co. Limited,311796
478,CCL,CCL Products (India) Limited,311219
479,MASTEK,Mastek Limited,307753
480,CAPLIPOINT,Caplin Point Laboratories Limited,305181
481,ALLCARGO,Allcargo Logistics Limited,303188
482,CHALET,Chalet Hotels Limited,299950
483,CRAFTSMAN,Craftsman Automation Limited,299906
484,EQUITAS,Equitas Holdings Limited,298212
485,GET&D,GE T&D India Limited,297782
486,MAGMA,Magma Fincorp Limited,296848
487,MEGH,Meghmani Organics Limited,296530
488,GREAVESCOT,Greaves Cotton Limited,295135
489,JSLHISAR,Jindal Stainless (Hisar) Limited,295036
490,GAEL,Gujarat Ambuja Exports Limited,293205
491,LEMONTREE,Lemon Tree Hotels Limited,293131
492,MAHLIFE,Mahindra Lifespace Developers Limited,292550
493,NILKAMAL,Nilkamal Limited,291101
494,SURYODAY,Suryoday Small Finance Bank Limited,290480
495,NOCIL,NOCIL Limited,290452
496,ASHOKA,Ashoka Buildcon Limited,286057
497,MHRIL,Mahindra Holidays & Resorts India Limited,280997
498,SAREGAMA,Saregama India Limited,278091
499,TTML,Tata Teleservices (Maharashtra) Limited,275645
500,ESABINDIA,Esab India Limited,275497
501,UFLEX,UFLEX Limited,272996
502,SHILPAMED,Shilpa Medicare Limited,272137
503,ORIENTREF,Orient Refractories Limited,271034
504,POLYPLEX,Polyplex Corporation Limited,270917
505,JAMNAAUTO,Jamna Auto Industries Limited,270358
506,JKTYRE,JK Tyre & Industries Limited,268392
507,NEULANDLAB,Neuland Laboratories Limited,268042
508,NFL,National Fertilizers Limited,265403
509,INDOCO,Indoco Remedies Limited,264978
510,ALEMBICLTD,Alembic Limited,264357
511,ICIL,Indo Count Industries Limited,259877
512,SHARDACROP,Sharda Cropchem Limited,258752
513,TATAMETALI,Tata Metaliks Limited,257672
514,BSE,BSE Limited,257134
515,UJJIVAN,Ujjivan Financial Services Limited,255843
516,JKPAPER,JK Paper Limited,253849
517,GPIL,Godawari Power And Ispat limited,253296
518,GUJALKALI,Gujarat Alkalies and Chemicals Limited,253239
519,HERANBA,Heranba Industries Limited,252565
520,LAOPALA,La Opala RG Limited,246198
521,RUPA,Rupa & Company Limited,244379
522,RAYMOND,Raymond Limited,240697
523,MINDACORP,Minda Corporation Limited,240275
524,HCG,Healthcare Global Enterprises Limited,238794
525,ANGELBRKG,Angel Broking Limited,238279
526,JINDALSAW,Jindal Saw Limited,237098
527,KIRLOSENG,Kirloskar Oil Engines Limited,236588
528,SHOPERSTOP,Shoppers Stop Limited,235122
529,DEN,Den Networks Limited,235033
530,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,232666
531,BEPL,Bhansali Engineering Polymers Limited,232517
532,FRETAIL,Future Retail Limited,231284
533,PTC,PTC India Limited,230146
534,HIL,HIL Limited,228433
535,IFCI,IFCI Limited,227519
536,RELIGARE,Religare Enterprises Limited,226987
537,GREENLAM,Greenlam Industries Limited,226230
538,SCHNEIDER,Schneider Electric Infrastructure Limited,225714
539,EASEMYTRIP,Easy Trip Planners Limited,225004
540,TATACOFFEE,Tata Coffee Limited,224031
541,JPPOWER,Jaiprakash Power Ventures Limited,222737
542,RAMCOIND,Ramco Industries Limited,222421
543,GDL,Gateway Distriparks Limited,221584
544,BALMLAWRIE,Balmer Lawrie & Company Limited,220167
545,MATRIMONY,Matrimony.Com Limited,219414
546,VENKEYS,Venky's (India) Limited,219143
547,UNICHEMLAB,Unichem Laboratories Limited,218680
548,GHCL,GHCL Limited,218055
549,INGERRAND,Ingersoll Rand (India) Limited,215594
550,SUVIDHAA,Suvidhaa Infoserve Limited,213052
551,GRSE,Garden Reach Shipbuilders & Engineers Limited,211749
552,HUHTAMAKI,Huhtamaki India Limited,211386
553,REPCOHOME,Repco Home Finance Limited,210863
554,MSTCLTD,Mstc Limited,210109
555,VRLLOG,VRL Logistics Limited,209642
556,GREENPLY,Greenply Industries Limited,209141
