Sr. No.,CompanyName,BSECode
161,Alps Industries Ltd.,530715
162,Alstom India Ltd,532309
163,Alstom T&d India Ltd.,522275
164,Alstone Textiles (india) Ltd,539277
165,Alufluoride Ltd.,524634
166,Amal Ltd.,506597
167,Amalgamated Electricity Co.ltd.,501622
168,Amani Trading & Exports Ltd.,512008
169,Amar Remedies Ltd.,532664
170,Amara Raja Batteries Ltd.,500008
171,Amarjothi Spinning Mills Ltd.,521097
172,Amarnath Securities Ltd,538465
173,Amba Enterprises Ltd,539196
174,Ambalal Sarabhai Enterprises Ltd.,500009
175,Ambica Agarbathies & Aroma Industries Ltd.,532335
176,Ambika Cotton Mills Ltd.,531978
177,Ambition Mica Ltd,539223
178,Ambitious Plastomac Company Ltd.,526439
179,Ambuja Cements Ltd.,500425
180,Amco India Ltd.-$,530133
181,Amd Industries Ltd.,532828
182,Amforge Industries Ltd.,513117
183,Amines & Plasticizers Ltd.,506248
184,Amit International Ltd.,531300
185,Amit Securities Ltd.,531557
186,Amit Spinning Industries Ltd.,521076
187,Amradeep Industries Ltd.,531681
188,Amrapali Capital And Finance Services Ltd,536737
189,Amrapali Fincap Ltd,539265
190,Amrapali Industries Ltd.,526241
191,Amraworld Agrico Ltd.,531991
192,Amrit Corp.ltd.-$,507525
193,Amrutanjan Health Care Ltd.-$,590006
194,Amsons Apparels Ltd,538861
195,Amtek Auto Ltd.-$,520077
196,Amulya Leasing & Finance Ltd.,531761
197,Anand Credit Ltd.,531678
198,Anand Projects Ltd,501630
199,Anant Raj Limited-$,515055
200,Ananthi Constructions Ltd.,526833
201,Anar Industries Ltd.,531127
202,Andhra Bank,532418
203,Andhra Cements Ltd.,532141
204,Andhra Petrochemicals Ltd.,500012
205,Andhra Sugars Ltd.,590062
206,Andrew Yule & Company Ltd.,526173
207,Ang Industries Limited,530721
208,Anik Industries Ltd.,519383
209,Anil Ltd.,532910
210,Anil Special Steel Industries Ltd.-$,504629
211,Anisha Impex Ltd,537785
212,Anjani Finance Ltd.,531878
213,Anjani Foods Ltd,511153
214,Anjani Portland Cement Ltd.-$,518091
215,Anjani Synthetics Ltd.-$,531223
216,Anka India Ltd.,531673
217,Ankit Metal & Power Ltd.,532870
218,Ankush Finstock Ltd.,531519
219,Anna Infrastructures Ltd.,530799
220,Ans Industries Ltd,531406
221,Ansal Buildwell Ltd.-$,523007
222,Ansal Housing & Construction Ltd.-$,507828
223,Ansal Properties & Infrastructure Ltd.,500013
224,Anshuni Commercials Ltd.,512091
225,Anshus Clothing Ltd.,534707
226,Anu's Laboratories Ltd.,532981
227,Anubhav Infrastructure Ltd,538833
228,Anuh Pharma Ltd.,506260
229,Anukaran Commercial Enterprises Ltd.,512355
230,Anup Malleable Ltd.,506087
231,Apar Industries Ltd.,532259
232,Apcotex Industries Ltd.,523694
233,Apis India Ltd.,506166
234,Apl Apollo Tubes Ltd.,533758
235,Aplab Ltd.-$,517096
236,Aplaya Creations Ltd,511064
237,Apm Industries Ltd.-$,523537
238,Apollo Finvest (india) Ltd.,512437
239,Apollo Hospitals Enterprise Ltd.,508869
240,Apollo Tyres Ltd.,500877
241,Apple Finance Ltd.,500014
242,Appu Marketing & Manufacturing Ltd,538653
243,Apte Amalgamations Ltd.,507265
244,Aptech Ltd.,532475
245,Aptechbbph,535790
246,Aqua Logistics Ltd,533159
247,Aqua Pumps Infra Ventures Limited,531364
248,Arambhan Hospitality Services Ltd,539403
249,Aramusk Infrastructure Investments Ltd.,532068
250,Aravali Securities & Finance Ltd.,512344
251,Arcee Industries Ltd.,520121
252,Archana Software Ltd.,530565
253,Archidply Industries Ltd.,532994
254,Archies Ltd.,532212
255,Archit Organosys Ltd.,524640
256,Arco Leasing Ltd.,511038
257,Arcotech Ltd.,532914
258,Arcuttipore Tea Co.ltd.,530261
259,Ardi Investment & Trading Ltd.,504370
260,Arex Industries Ltd.,526851
261,Arfin India Ltd,539151
262,Ari Consolidated Investments Ltd.,509110
263,Aries Agro Ltd.,532935
264,Arihant Avenues & Credit Ltd.,531553
265,Arihant Capital Markets Ltd.,511605
266,Arihant Foundations & Housing Ltd.-$,531381
267,Arihant Superstructures Limited,506194
268,Arihant Tournesol Ltd.,526125
269,Arihant's Securities Ltd.,531017
270,Aris International Ltd.,531677
271,Arman Financial Services Ltd.,531179
272,Arman Holdings Ltd,538556
273,Arms Paper Ltd.,532397
274,Arnav Corporation Ltd.,531467
275,Arnold Holdings Ltd,537069
276,Aro Granite Industries Ltd.-$,513729
277,Aroma Enterprises (india) Ltd.,531560
278,Aroni Commercials Ltd.-$,512273
279,Arora Fibres Ltd.,521174
280,Arrow Greentech Ltd,516064
281,Arrow Textiles Ltd.,533068
282,Arshiya Limited,506074
283,Arss Infrastructure Projects Ltd.,533163
284,Artech Power Products Ltd.,517481
285,Artefact Projects Ltd.,531297
286,Artson Engineering Ltd.,522134
287,Arvind Infrastructure Ltd,539301
288,Arvind International Ltd.-$,524760
289,Arvind Ltd.,500101
290,Arvind Remedies Ltd.,531823
291,Aryaman Capital Markets Ltd,538716
292,Aryaman Financial Services Ltd.,530245
293,Asahi India Glass Ltd.,515030
294,Asahi Industries Limited,514482
295,Asahi Infrastructure & Projects Ltd.,512535
296,Asahi Songwon Colors Ltd.,532853
297,Aseem Global Ltd.,534564
298,Ashapura Intimates Fashion Ltd.,535467
299,Ashapura Minechem Ltd.,527001
300,Ashco Niulab Industries Ltd.-$,517565
301,Ashiana Agro Industries Ltd.,519174
302,Ashiana Housing Ltd.-$,523716
303,Ashiana Ispat Ltd.,513401
304,Ashika Credit Capital Ltd.,590122
305,Ashima Ltd.,514286
306,Ashirwad Capital Ltd.,512247
307,Ashirwad Steels & Industries Ltd.,526847
308,Ashish Polyplast Ltd.,530429
309,Ashnoor Textile Mills Ltd.,507872
310,Ashok Alco-chem Ltd.,524594
311,Ashok Leyland Ltd.,500477
312,Ashoka Buildcon Ltd.,533271
313,Ashoka Refineries Ltd.,526983
314,Ashram Online.com Ltd.,526187
315,Ashutosh Paper Mills Ltd.,531568
316,Asia Capital Ltd,538777
317,Asia Pack Ltd.,530899
318,Asian Electronics Ltd.,503940
319,Asian Flora Ltd.,531392
320,Asian Granito India Ltd.,532888
321,Asian Hotels (east) Ltd.,533227
322,Asian Hotels (north) Limited,500023
323,Asian Hotels (west) Ltd.,533221
324,Asian Oilfield Services Ltd.,530355
325,Asian Paints Ltd.,500820
326,Asian Petroproducts & Exports Ltd.,524434
327,Asian Star Co.ltd.-$,531847
328,Asian Tea & Exports Ltd.-$,519532
329,Asis Logistics Limited,506159
330,Asit C.mehta Financial Services Ltd.,530723
331,Asm Technologies Ltd.,526433
332,Assam Company (india) Limited,500024
333,Associated Alcohols & Breweries Ltd.,507526
334,Associated Stone Industries (kotah) Ltd.,502015
335,Astec Lifesciences Limited,533138
336,Astra Microwave Products Ltd.,532493
337,Astral Poly Technik Ltd.,532830
338,Astrazeneca Pharma India Ltd.,506820
339,Asya Infosoft Limited,511144
340,Atharv Enterprises Ltd.,530187
341,Athena Constructions Ltd,539099
342,Athena Global Technologies Ltd,517429
343,Atishay Ltd,538713
344,Atlanta Devcon Limited,526843
345,Atlanta Infrastructure And Finance Ltd.,530479
346,Atlanta Ltd.,532759
347,Atlas Cycles (haryana) Ltd.,505029
348,Atlas Jewellery India Limited,514394
349,Atn International Ltd.,511427
350,Atul Auto Ltd.-$,531795
351,Atul Ltd.,500027
352,Atv Projects India Ltd.,500028
353,Aunde India Limited-$,532459
354,Aurangabad Paper Mills Ltd.,502352
355,Aurionpro Solutions Ltd.,532668
356,Auro Laboratories Ltd.,530233
357,Aurobindo Pharma Ltd.,524804
358,Auroma Coke Ltd.,531336
359,Aurum Soft Systems Limited,530885
360,Ausom Enterprise Limited,509009
361,Austin Engineering Co.ltd.,522005
362,Austral Coke & Projects Ltd.,533016
363,Authum Investment & Infrastucture Ltd,539177
364,Autoline Industries Ltd.,532797
365,Autolite (india) Ltd.,500029
366,Automobile Corporation Of Goa Ltd.-$,505036
367,Automotive Axles Ltd.,505010
368,Automotive Stampings & Assemblies Ltd.,520119
369,Autoriders Finance Ltd.,500030
370,Autoriders International Ltd.,512277
371,Available Finance Ltd.,531310
372,Avance Technologies Ltd.,512149
373,Avantel Ltd.,532406
374,Avanti Feeds Ltd.-$,512573
375,Avi Photochem Ltd.,523896
376,Avi Polymers Ltd,539288
377,Aviva Industries Ltd.,512109
378,Avon Corporation Ltd.,532995
379,Avon Lifesciences Ltd-$,531541
380,Avonmore Capital & Management Services Limited,511589
381,Avt Natural Products Ltd.,519105
382,Avtil Enterprise Ltd,504390
383,Axel Polymers Ltd.,513642
384,Axis Bank Ltd.,532215
385,Axiscades Engineering Technologies Ltd,532395
386,Axon Ventures Ltd,505506
387,Axtel Industries Ltd.,523850
388,Aym Syntex Ltd,508933
389,Ayoki Mercantile Ltd.,512063
390,Azure Exim Services Ltd.,531783
391,B & A Ltd.,508136
392,B&a Packaging India Limited,523186
393,B&b Realty Limited,506971
394,B. P. Capital Ltd,536965
395,B.a.g.films & Media Ltd.,532507
396,B.c. Power Controls Ltd,537766
397,B.l.kashyap And Sons Ltd.,532719
398,B.n.rathi Securities Ltd.,523019
399,B.nanji Enterprises Ltd.,526594
400,B2b Software Technologies Ltd.,531268
401,Baba Arts Ltd.-$,532380
402,Bacil Pharma Ltd.,524516
403,Bafna Pharmaceuticals Ltd.,532989
404,Bagadia Colourchem Ltd.,530197
405,Baid Leasing And Finance Co.ltd.,511724
406,Bajaj Auto Ltd.,532977
407,Bajaj Corp Ltd.,533229
408,Bajaj Electricals Ltd.-$,500031
409,Bajaj Finance Limited,500034
410,Bajaj Finserv Ltd.,532978
411,Bajaj Global Ltd.,512261
412,Bajaj Hindusthan Sugar Limited,500032
413,Bajaj Holdings & Investment Ltd.,500490
414,Bajaj Steel Industries Ltd.,507944
415,Bajrang Finance Ltd.,511139
416,Bal Pharma Ltd.,524824
417,Bala Techno Global Ltd.,511395
418,Bala Techno Industries Ltd.,514199
419,Balaji Amines Ltd.-$,530999
420,Balaji Telefilms Ltd.,532382
421,Balasore Alloys Ltd.,513142
422,Balkrishna Industries Ltd.-$,502355
423,Ballarpur Industries Ltd.,500102
424,Balmer Lawrie & Co.ltd.,523319
425,Balmer Lawrie Investments Ltd.,532485
426,Balrampur Chini Mills Ltd.,500038
427,Balurghat Technologies Ltd.,520127
428,Bambino Agro Industries Ltd.,519295
429,Bampsl Securities Ltd.,531591
430,Banaras Beads Ltd.,526849
431,Banas Finance Ltd.,509053
432,Banco Products (india) Ltd.-$,500039
433,Bang Overseas Ltd.,532946
434,Bangalore Fort Farms Ltd,539120
435,Bank Of Baroda,532134
436,Bank Of India,532149
437,Bank Of Maharashtra,532525
438,Bannari Amman Spinning Mills Ltd.,532674
439,Bannari Amman Sugars Ltd.,500041
440,Bansal Roofing Products Ltd,538546
441,Banswara Syntex Ltd.-$,503722
442,Barak Valley Cements Ltd.,532916
443,Baroda Extrusion Ltd.,513502
444,Baron Infotech Ltd.,532336
445,Bartronics India Ltd.,532694
446,Basant Agro Tech (india) Ltd.-$,524687
447,Basf India Ltd.,500042
448,Basil Infrastructure Projects Ltd.,511210
449,Bata India Ltd.,500043
450,Batliboi Ltd.-$,522004
451,Bayer Cropscience Ltd.,506285
452,Bcc Fuba India Ltd.,517246
453,Bcl Industries And Infrastructures Ltd-$,524332
454,Bdh Industries Ltd.,524828
455,Beardsell Ltd,539447
456,Beckons Industries Ltd.,531937
457,Bedmutha Industries Ltd.,533270
458,Beekay Steel Industries Ltd,539018
459,Beeyu Overseas Ltd.,532645
460,Bell Agromachina Ltd.,531112
461,Bella Casa Fashion & Retail Ltd,539399
462,Bemco Hydraulics Ltd.,522650
463,Beml Ltd.,500048
464,Benares Hotels Ltd.,509438
465,Bengal & Assam Company Ltd.,533095
466,Bengal Tea & Fabrics Ltd.,532230
467,Bentley Commercial Enterprises Ltd.,512195
468,Benzo Petro International Ltd.,524737
469,Berger Paints India Ltd.,509480
470,Bervin Investment & Leasing Ltd.,531340
471,Beryl Drugs Ltd.,524606
472,Beryl Securities Ltd.,531582
473,Best & Crompton Engg.ltd.,500046
474,Best Eastern Hotels Ltd.,508664
475,Beta-kappa Investments Ltd.,531481
476,Betex India Ltd.,512477
477,Bf Investment Ltd.,533303
478,Bf Utilities Ltd.-$,532430
479,Bgil Films & Technologies Ltd.,511664
480,Bgr Energy Systems Ltd.,532930
481,Bhagawati Gas Limited,500051
482,Bhageria Industries Ltd,530803
483,Bhagiradha Chemicals & Industries Ltd.,531719
484,Bhagwandas Metals Ltd.,530095
485,Bhagwati Autocast Ltd.,504646
486,Bhagwati Oxygen Ltd.,509449
487,Bhagyanagar India Ltd.,512296
488,Bhagyashree Leasing & Finance Ltd.,511698
489,Bhagyodaya Infrastructure Development Ltd,501233
490,Bhandari Hosiery Exports Ltd.,512608
491,Bhanderi Infracon Ltd,538576
492,Bhanot Construction & Housing Ltd.,534740
493,Bhansali Engineering Polymers Ltd.-$,500052
494,Bharat Agri Fert & Realty Ltd.,531862
495,Bharat Bhushan Share & Commodity Brokers Ltd.,511501
496,Bharat Bijlee Ltd.-$,503960
497,Bharat Electronics Ltd.,500049
498,Bharat Forge Ltd.,500493
499,Bharat Gears Ltd.,505688
500,Bharat Heavy Electricals Ltd.,500103
501,Bharat Immunologicals & Biologicals Corporation Ltd.-$,524663
502,Bharat Petroleum Corporation Ltd.,500547
503,Bharat Rasayan Ltd.,590021
504,Bharat Seats Ltd.-$,523229
505,Bharat Textiles & Proofing Industries Ltd.,531029
506,Bharati Shipyard Ltd.,532609
507,Bharatiya Global Infomedia Ltd.,533499
508,Bharti Airtel Ltd.,532454
509,Bharti Infratel Ltd.,534816
510,Bhartiya International Ltd.,526666
511,Bheema Cements Ltd.,518017
512,Bhilwara Spinners Ltd.,514272
513,Bhilwara Technical Textiles Ltd.,533108
514,Bhilwara Tex-fin Ltd.,530879
515,Bhoruka Aluminium Ltd.,506027
516,Bhushan Steel Ltd.,500055
517,Bhuwalka Steel Industries Ltd.-$,513333
518,Bihar Sponge Iron Ltd.,500058
519,Bijlee Textiles Ltd.,512313
520,Bijoy Hans Ltd.,524723
521,Bil Energy Systems Ltd.,533321
522,Bilcare Ltd.-$,526853
523,Bilpower Ltd.,531590
524,Bimetal Bearings Ltd.-$,505681
525,Binani Industries Ltd.,500059
526,Binayak Tex Processors Ltd.,523054
527,Binny Ltd.,514215
528,Binny Mills Ltd.,535620
529,Bio Green Papers Ltd,534535
530,Biocon Ltd.,532523
531,Biofil Chemicals & Pharmaceuticals Ltd.,524396
532,Biopac India Corporation Ltd.-$,532330
533,Birdhi Chand Pannalal Agencies Ltd,538364
534,Birla Capital & Financial Services Ltd.,512332
535,Birla Corporation Ltd.,500335
536,Birla Cotsyn (india) Ltd.,533006
537,Birla Ericsson Optical Ltd.,500060
538,Birla Pacific Medspa Ltd.,533469
539,Birla Power Solutions Ltd.-$,517001
540,Birla Precision Technologies Ltd.,522105
541,Birla Shloka Edutech Ltd.,511607
542,Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Dividend Payout,538758
543,Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth,538757
544,Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Dividend Payout,538756
545,Birla Sun Life Focused Equity Fund - Series 3- Regular Plan - Growth,538755
546,Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Dividend Payout,538844
547,Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth,538843
548,Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Dividend Payout,538842
549,Birla Sun Life Focused Equity Fund - Series 4- Regular Plan - Growth,538841
550,Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Dividend Payout,539055
551,Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Growth,539054
552,Birla Sun Life Focused Equity Fund - Series 5 - Regular Plan - Dividend Payout,539053
553,Birla Sun Life Focused Equity Fund - Series 5- Regular Plan - Growth,539052
554,Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Dividend Payout,539423
555,Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Growth,539422
556,Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Dividend Payout,539421
557,Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Growth,539420
558,Birla Sun Life Mutual Fund - Birla Sun Life Focused Equity Fund - Series 1 - Direct Plan - Growth,537646
559,Birla Sun Life Mutual Fund - Birla Sun Life Focused Equity Fund-series 1-direct Plan-dividnd Payot,537647
560,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 1 - Regular Plan - Growth,537644
561,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan - Growth,538017
562,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan-dividend P,538018
563,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan - D P,538016
564,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan - Growth,538015
565,Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund-series 1-regular Plan-divind Payot,537645
566,Birla Transasia Carpets Ltd.,503823
567,Bisil Plast Limited,531671
568,Bits Ltd.,526709
569,Bkv Industries Ltd.,519500
570,Black Rose Industries Ltd.,514183
571,Blazon Marbles Limited,531570
572,Blb Ltd.,532290
573,Bliss Gvs Pharma Ltd.,506197
574,Bloom Dekor Ltd.-$,526225
575,Bloom Industries Ltd.,513422
576,Bls Infotech Ltd.,531175
577,Blue Blends (india) Ltd,502761
578,Blue Chip India Ltd.,531936
579,Blue Chip Tex Industries Ltd.,506981
580,Blue Circle Services Ltd.,508939
581,Blue Coast Hotels Ltd.,531495
582,Blue Dart Express Ltd.,526612
583,Blue Pearl Texspin Limited,514440
584,Blue Star Infotech Ltd.,532346
585,Blue Star Ltd.,500067
586,Bluechip Stockspin Ltd.,531713
587,Bmb Music & Magnetics Ltd.,531420
588,Bnk Capital Markets Ltd.,500069
589,Bnr Udyog Ltd.,530809
590,Bodal Chemicals Ltd.,524370
591,Bodhtree Consulting Ltd,539122
592,Bombay Burmah Trading Corp.ltd.,501425
593,Bombay Cycle & Motor Agency Ltd.,501430
594,Bombay Dyeing & Mfg.co.ltd.,500020
595,Bombay Oxygen Corporation Ltd.,509470
596,Bombay Potteries & Tiles Ltd.,502216
597,Bombay Rayon Fashions Ltd.,532678
598,Bombay Swadeshi Stores Ltd.,531276
599,Bonanza Industries Ltd.,523133
600,Borax Morarji Ltd.,506315
601,Borosil Glass Works Ltd.,502219
602,Bosch Ltd.,500530
603,Boston Bio Systems Ltd.,531458
604,Boston Leasing And Finance Ltd,539274
605,Boston Teknowsys (india) Ltd,536820
606,Bothra Metals & Alloys Ltd.,535279
607,Bpl Ltd.,500074
608,Brady & Morris Engineering Co.ltd.,505690
609,Brahmanand Himghar Ltd.,590081
610,Brahmaputra Infrastructure Ltd.,535693
611,Brakes Auto (india) Ltd.,520115
612,Brand Realty Services Ltd.,531203
613,Brandhouse Retails Ltd.,533059
614,Brawn Biotech Ltd.,530207
615,Bridge Securities Ltd.,530249
616,Brigade Enterprises Ltd.,532929
617,Bright Brothers Ltd.-$,526731
618,Brijlaxmi Leasing & Finance Ltd.,532113
619,Brilliant Portfolios Ltd,539434
620,Britannia Industries Ltd.,500825
621,Broadcast Initiatives Ltd.,532816
622,Bronze Infra-tech Ltd.,534731
623,Brooks Laboratories Ltd.,533543
624,Brushman (india) Ltd.-$,590061
625,Bs Ltd.,533276
626,Bsel Infrastructure Realty Ltd.,532123
627,Bsl Ltd.,514045
628,Budge Budge Company Ltd,538789
629,Burnpur Cement Ltd.,532931
630,Butterfly Gandhimathi Appliances Ltd,517421
631,Bwl Ltd.,504643
632,C & C Constructions Ltd.,532813
633,C. Mahendra Exports Ltd.,533304
634,C.j.gelatine Products Ltd.,507515
635,Cable Corporation Of India Ltd.,500077
636,Cadila Healthcare Ltd.,532321
637,Cairn India Ltd.,532792
638,Calcom Vision Ltd.,517236
639,California Software Co.ltd.,532386
640,Cals Refineries Ltd.,526652
641,Cambridge Technology Enterprises Ltd.,532801
642,Camex Ltd.,524440
643,Camlin Fine Sciences Ltd.,532834
644,Camphor & Allied Products Ltd.-$,500078
645,Camson Bio Technologies Ltd,538858
646,Camson Bio Technologies Ltd-$,590076
647,Can Fin Homes Ltd.,511196
648,Canara Bank,532483
649,Canopy Finance Ltd,539304
650,Cantabil Retail India Ltd.,533267
651,Capfin India Ltd,539198
652,Capital First Ltd.,532938
653,Capital Trade Links Ltd,538476
654,Capital Trust Ltd.,511505
655,Caplin Point Laboratories Ltd.,524742
656,Capman Financials Ltd.,511720
657,Capri Global Capital Limited,531595
658,Capricorn Systems Global Solutions Ltd.,512169
659,Caprihans India Ltd.-$,509486
660,Caprolactam Chemicals Ltd.,507486
661,Captain Pipes Ltd,538817
662,Captain Polyplast Ltd,536974
663,Carborundum Universal Ltd.,513375
664,Career Point Ltd.,533260
665,Carewell Industries Ltd,538579
666,Carnation Industries Ltd.,530609
667,Castex Technologies Ltd-$,532282
668,Castrol India Ltd.,500870
669,Cat Technologies Ltd.,531682
670,Catvision Limited,531158
671,Ccl International Ltd.,531900
672,Ccl Products (india) Ltd.,519600
673,Ccs Infotech Ltd.,532405
